time,l,r
2020-03-11 16:22:32.500,1,1
2020-03-11 16:22:32.740,1,0
2020-03-11 16:22:33.000,1,1
2020-03-11 16:22:33.240,0,1
2020-03-11 16:22:33.500,0,0
2020-03-11 16:22:33.740,0,1
2020-03-11 16:22:34.000,1,1
2020-03-11 16:22:34.240,1,0
2020-03-11 16:22:34.500,1,1
2020-03-11 16:22:34.740,1,1
2020-03-11 16:22:35.000,1,1
2020-03-11 16:22:35.240,1,0
2020-03-11 16:22:35.500,1,1
2020-03-11 16:22:35.740,0,1
2020-03-11 16:22:36.000,0,1
2020-03-11 16:22:36.240,1,1
2020-03-11 16:22:36.500,1,1
2020-03-11 16:22:36.740,1,1
2020-03-11 16:22:37.000,1,1
2020-03-11 16:22:37.240,1,1
2020-03-11 16:22:37.500,1,1
2020-03-11 16:22:37.740,0,1
2020-03-11 16:22:38.000,0,1
2020-03-11 16:22:38.240,1,1
2020-03-11 16:22:38.500,1,1
2020-03-11 16:22:38.740,1,1
2020-03-11 16:22:39.000,1,1
2020-03-11 16:22:39.240,1,0
2020-03-11 16:22:39.500,1,1
2020-03-11 16:22:39.740,0,1
2020-03-11 16:22:40.000,1,1
2020-03-11 16:22:40.240,1,1
2020-03-11 16:22:40.500,1,1
2020-03-11 16:22:40.740,1,1
2020-03-11 16:22:41.000,1,0
2020-03-11 16:22:41.240,1,1
2020-03-11 16:22:41.500,1,1
2020-03-11 16:22:41.740,1,1
2020-03-11 16:22:42.000,0,1
2020-03-11 16:22:42.240,0,1
2020-03-11 16:22:42.500,0,1
2020-03-11 16:22:42.740,1,0
2020-03-11 16:22:43.000,1,1
2020-03-11 16:22:43.240,1,1
2020-03-11 16:22:43.500,1,1
2020-03-11 16:22:43.740,1,1
2020-03-11 16:22:44.000,1,1
2020-03-11 16:22:44.240,1,0
2020-03-11 16:22:44.500,1,0
2020-03-11 16:22:44.740,1,1
2020-03-11 16:22:45.000,1,1
2020-03-11 16:22:45.240,1,1
2020-03-11 16:22:45.500,1,1
2020-03-11 16:22:45.740,1,1
