time,r,iteration
2020-03-11 16:24:54.240,1,0
2020-03-11 12:23:49.740,1,0
2020-03-11 12:22:59.240,1,0
2020-03-18 17:59:11.500,1,0
2020-03-11 12:23:36.240,1,0
2020-03-11 12:22:35.000,1,0
2020-03-11 12:19:34.240,1,0
2020-03-11 12:23:38.240,1,0
2020-03-11 12:25:51.000,1,0
2020-03-11 12:25:43.500,1,0
2020-03-11 12:20:41.240,1,0
2020-03-18 17:58:56.240,1,0
2020-03-11 12:23:01.000,1,0
2020-03-11 12:23:06.240,1,0
2020-03-11 12:20:42.000,1,0
2020-03-11 12:21:33.740,1,0
2020-03-11 12:23:19.740,1,0
2020-03-11 12:22:08.000,1,0
2020-03-11 12:20:48.740,1,0
2020-03-11 12:22:37.000,1,0
2020-03-11 12:23:07.240,0,0
2020-03-11 12:25:36.240,1,0
2020-03-11 12:21:38.500,1,0
2020-03-11 12:23:11.240,1,0
2020-03-11 12:22:07.000,0,0
2020-03-11 12:19:24.740,1,0
2020-03-11 12:25:27.000,1,0
2020-03-11 12:19:24.240,1,0
2020-03-18 17:58:53.740,1,0
2020-03-11 12:25:49.500,1,0
2020-03-11 12:23:39.000,1,0
2020-03-11 12:23:34.240,1,0
2020-03-11 12:23:15.500,1,0
2020-03-11 12:23:02.240,1,0
2020-03-11 12:19:45.500,1,0
2020-03-11 12:20:18.240,1,0
2020-03-11 12:23:53.240,1,0
2020-03-11 12:21:56.000,1,0
2020-03-11 12:22:10.000,1,0
2020-03-11 12:21:04.240,1,0
2020-03-11 12:23:13.240,1,0
2020-03-11 12:21:10.240,1,0
2020-03-11 12:23:54.500,1,0
2020-03-11 12:19:48.740,1,0
2020-03-11 12:19:19.500,1,0
2020-03-11 12:25:53.240,1,0
2020-03-11 12:19:13.740,1,0
2020-03-11 12:21:53.740,1,0
2020-03-11 12:22:33.000,1,0
2020-03-11 12:19:43.240,1,0
2020-03-11 12:21:09.240,1,0
2020-03-11 12:20:45.500,1,0
2020-03-11 12:21:09.500,1,0
2020-03-11 12:23:16.240,1,0
2020-03-11 12:25:41.240,1,0
2020-03-11 12:23:00.500,1,0
2020-03-11 12:21:32.000,1,0
2020-03-11 12:23:07.000,1,0
2020-03-11 12:21:51.740,1,0
2020-03-11 12:23:36.740,1,0
2020-03-18 17:58:57.500,1,0
2020-03-11 12:25:43.240,1,0
2020-03-11 12:21:41.740,1,0
2020-03-11 12:21:37.740,1,0
2020-03-11 12:25:28.740,1,0
2020-03-11 12:19:34.000,1,0
2020-03-11 12:24:09.240,1,0
2020-03-11 12:19:22.240,1,0
2020-03-18 17:58:54.000,1,0
2020-03-11 12:21:50.740,1,0
2020-03-11 12:23:41.000,1,0
2020-03-11 12:25:38.500,1,0
2020-03-11 12:25:48.740,1,0
2020-03-11 12:23:54.240,1,0
2020-03-18 17:59:08.500,1,0
2020-03-11 12:19:29.000,1,0
2020-03-11 12:19:38.240,1,0
2020-03-11 12:23:37.240,1,0
2020-03-11 12:23:35.000,1,0
2020-03-11 12:22:43.240,1,0
2020-03-11 12:25:33.000,1,0
2020-03-18 17:58:47.500,1,0
2020-03-11 12:24:00.000,1,0
2020-03-11 12:19:43.000,1,0
2020-03-11 12:22:42.740,1,0
2020-03-11 12:24:07.000,1,0
2020-03-11 12:20:51.740,1,0
2020-03-11 12:23:50.740,1,0
