,time,l,r
231,2020-03-11 16:22:19.000,1,1
232,2020-03-11 16:22:19.240,1,1
233,2020-03-11 16:22:19.500,1,1
234,2020-03-11 16:22:19.740,1,1
235,2020-03-11 16:22:20.000,1,1
236,2020-03-11 16:22:20.240,1,1
237,2020-03-11 16:22:20.500,1,1
238,2020-03-11 16:22:20.740,0,1
239,2020-03-11 16:22:21.000,1,1
240,2020-03-11 16:22:21.240,1,1
241,2020-03-11 16:22:21.500,1,1
242,2020-03-11 16:22:21.740,1,1
243,2020-03-11 16:22:22.000,1,1
244,2020-03-11 16:22:22.240,1,1
245,2020-03-11 16:22:22.500,1,1
246,2020-03-11 16:22:22.740,1,1
247,2020-03-11 16:22:23.000,1,1
248,2020-03-11 16:22:23.240,1,1
249,2020-03-11 16:22:23.500,1,1
250,2020-03-11 16:22:23.740,1,1
251,2020-03-11 16:22:24.000,1,1
252,2020-03-11 16:22:24.240,0,1
253,2020-03-11 16:22:24.500,1,1
254,2020-03-11 16:22:24.740,0,1
255,2020-03-11 16:22:25.000,0,1
256,2020-03-11 16:22:25.240,0,1
257,2020-03-11 16:22:25.500,1,1
258,2020-03-11 16:22:25.740,0,1
259,2020-03-11 16:22:26.000,1,1
260,2020-03-11 16:22:26.240,1,1
261,2020-03-11 16:22:26.500,0,1
262,2020-03-11 16:22:26.740,1,1
263,2020-03-11 16:22:27.000,0,1
264,2020-03-11 16:22:27.240,0,1
265,2020-03-11 16:22:27.500,1,1
266,2020-03-11 16:22:27.740,1,1
267,2020-03-11 16:22:28.000,0,1
268,2020-03-11 16:22:28.240,0,1
269,2020-03-11 16:22:28.500,0,1
270,2020-03-11 16:22:28.740,0,1
271,2020-03-11 16:22:29.000,0,1
272,2020-03-11 16:22:29.240,0,1
273,2020-03-11 16:22:29.500,0,1
274,2020-03-11 16:22:29.740,0,1
275,2020-03-11 16:22:30.000,0,1
276,2020-03-11 16:22:30.240,0,1
277,2020-03-11 16:22:30.500,0,1
278,2020-03-11 16:22:30.740,0,1
279,2020-03-11 16:22:31.000,0,1
280,2020-03-11 16:22:31.240,0,1
281,2020-03-11 16:22:31.500,0,1
282,2020-03-11 16:22:31.740,0,1
283,2020-03-11 16:22:32.000,1,1
284,2020-03-11 16:22:32.240,1,0
285,2020-03-11 16:22:32.500,1,1
286,2020-03-11 16:22:32.740,1,1
287,2020-03-11 16:22:33.000,1,1
288,2020-03-11 16:22:33.240,0,1
289,2020-03-11 16:22:33.500,1,1
290,2020-03-11 16:22:33.740,1,1
291,2020-03-11 16:22:34.000,1,1
292,2020-03-11 16:22:34.240,1,0
293,2020-03-11 16:22:34.500,1,1
294,2020-03-11 16:22:34.740,1,1
295,2020-03-11 16:22:35.000,1,1
296,2020-03-11 16:22:35.240,1,1
297,2020-03-11 16:22:35.500,1,1
298,2020-03-11 16:22:35.740,1,1
299,2020-03-11 16:22:36.000,1,1
300,2020-03-11 16:22:36.240,1,1
301,2020-03-11 16:22:36.500,1,1
302,2020-03-11 16:22:36.740,1,1
303,2020-03-11 16:22:37.000,1,1
304,2020-03-11 16:22:37.240,1,1
305,2020-03-11 16:22:37.500,1,1
306,2020-03-11 16:22:37.740,1,1
307,2020-03-11 16:22:38.000,1,1
308,2020-03-11 16:22:38.240,1,1
309,2020-03-11 16:22:38.500,1,1
310,2020-03-11 16:22:38.740,1,1
311,2020-03-11 16:22:39.000,1,1
312,2020-03-11 16:22:39.240,1,1
313,2020-03-11 16:22:39.500,1,1
314,2020-03-11 16:22:39.740,1,1
315,2020-03-11 16:22:40.000,1,1
316,2020-03-11 16:22:40.240,1,1
317,2020-03-11 16:22:40.500,1,1
318,2020-03-11 16:22:40.740,1,1
319,2020-03-11 16:22:41.000,1,1
320,2020-03-11 16:22:41.240,1,1
321,2020-03-11 16:22:41.500,1,1
322,2020-03-11 16:22:41.740,1,1
323,2020-03-11 16:22:42.000,1,1
324,2020-03-11 16:22:42.240,1,1
325,2020-03-11 16:22:42.500,1,1
326,2020-03-11 16:22:42.740,1,1
327,2020-03-11 16:22:43.000,1,1
328,2020-03-11 16:22:43.240,1,1
329,2020-03-11 16:22:43.500,1,1
330,2020-03-11 16:22:43.740,1,1
331,2020-03-11 16:22:44.000,1,1
332,2020-03-11 16:22:44.240,1,1
333,2020-03-11 16:22:44.500,1,1
334,2020-03-11 16:22:44.740,1,1
335,2020-03-11 16:22:45.000,1,1
336,2020-03-11 16:22:45.240,1,1
337,2020-03-11 16:22:45.500,1,1
338,2020-03-11 16:22:45.740,1,1
339,2020-03-11 16:22:46.000,1,1
340,2020-03-11 16:22:46.240,1,1
341,2020-03-11 16:22:46.500,1,1
342,2020-03-11 16:22:46.740,1,1
343,2020-03-11 16:22:47.000,1,1
344,2020-03-11 16:22:47.240,1,1
345,2020-03-11 16:22:47.500,1,1
346,2020-03-11 16:22:47.740,1,1
347,2020-03-11 16:22:48.000,1,1
348,2020-03-11 16:22:48.240,1,1
349,2020-03-11 16:22:48.500,1,1
350,2020-03-11 16:22:48.740,1,1
351,2020-03-11 16:22:49.000,1,1
352,2020-03-11 16:22:49.240,1,1
353,2020-03-11 16:22:49.500,1,1
354,2020-03-11 16:22:49.740,1,1
355,2020-03-11 16:22:50.000,1,1
356,2020-03-11 16:22:50.240,1,1
357,2020-03-11 16:22:50.500,1,1
358,2020-03-11 16:22:50.740,1,1
359,2020-03-11 16:22:51.000,1,1
360,2020-03-11 16:22:51.240,1,1
361,2020-03-11 16:22:51.500,1,1
362,2020-03-11 16:22:51.740,1,1
363,2020-03-11 16:22:52.000,1,1
364,2020-03-11 16:22:52.240,1,1
365,2020-03-11 16:22:52.500,1,1
366,2020-03-11 16:22:52.740,1,1
367,2020-03-11 16:22:53.000,1,1
368,2020-03-11 16:22:53.240,1,1
369,2020-03-11 16:22:53.500,1,1
370,2020-03-11 16:22:53.740,1,1
371,2020-03-11 16:22:54.000,1,1
372,2020-03-11 16:22:54.240,1,1
373,2020-03-11 16:22:54.500,1,1
374,2020-03-11 16:22:54.740,1,1
375,2020-03-11 16:22:55.000,1,1
376,2020-03-11 16:22:55.240,1,1
377,2020-03-11 16:22:55.500,1,1
378,2020-03-11 16:22:55.740,1,1
379,2020-03-11 16:22:56.000,1,1
