,true positive,false positive,false negative,true negative,accuracy,gwets ac1 score,sensitivity,specificity,precision,f1 score,balanced accuracy,subject,method,iteration,youden
0,0.2445290199809705,0.0390104662226451,0.4367269267364415,0.2797335870599429,0.5242626070409134,0.04970297566841783,0.35893854748603354,0.8776119402985075,0.8624161073825503,0.5069033530571992,0.6182752438922705,6,GM Score,,0.23655048778454102
0,0.2281081081081081,0.023783783783783784,0.5610810810810811,0.18702702702702703,0.4151351351351351,-0.16775895522997572,0.28904109589041094,0.8871794871794871,0.905579399141631,0.4382139148494288,0.588110291534949,7,GM Score,,0.17622058306989796
0,0.23140495867768596,0.024793388429752067,0.5252525252525253,0.21854912764003673,0.4499540863177227,-0.09991004260119352,0.3058252427184466,0.8981132075471698,0.9032258064516128,0.456935630099728,0.6019692251328082,8,GM Score,,0.2039384502656163
0,0.11372812920592194,0.010767160161507403,0.44818304172274565,0.42732166890982504,0.5410497981157469,0.16428460693540567,0.20239520958083831,0.9754224270353302,0.9135135135135135,0.33137254901960783,0.5889088183080843,9,GM Score,,0.17781763661616856
0,0.192,0.04228571428571429,0.5074285714285715,0.2582857142857143,0.4502857142857143,-0.09461903876388365,0.2745098039215686,0.8593155893536121,0.8195121951219512,0.4112607099143206,0.5669126966375904,10,GM Score,,0.13382539327518073
0,0.5512820512820513,0.11282051282051282,0.2,0.1358974358974359,0.6871794871794872,0.46642443816444623,0.7337883959044369,0.5463917525773195,0.8301158301158301,0.7789855072463768,0.6400900742408782,1,GMAC,,0.2801801484817563
0,0.6123711340206186,0.15051546391752577,0.13814432989690723,0.09896907216494845,0.711340206185567,0.5431086109559728,0.815934065934066,0.396694214876033,0.8027027027027027,0.8092643051771118,0.6063141404050495,2,GMAC,,0.212628280810099
0,0.6688311688311688,0.06926406926406926,0.12987012987012986,0.13203463203463203,0.8008658008658008,0.6908215371633909,0.8373983739837397,0.6559139784946236,0.906158357771261,0.8704225352112676,0.7466561762391817,3,GMAC,,0.49331235247836336
0,0.5691244239631337,0.059907834101382486,0.19815668202764977,0.1728110599078341,0.7419354838709677,0.5539322749380564,0.7417417417417417,0.7425742574257426,0.9047619047619048,0.8151815181518152,0.7421579995837422,4,GMAC,,0.48431599916748436
0,0.6633663366336634,0.07673267326732673,0.13861386138613863,0.12128712871287128,0.7846534653465347,0.6671228400820166,0.8271604938271605,0.6124999999999999,0.8963210702341138,0.8603531300160514,0.7198302469135802,5,GMAC,,0.43966049382716044
0,0.5368620037807184,0.17391304347826086,0.14177693761814744,0.14744801512287334,0.6843100189035917,0.4517573391833733,0.7910863509749303,0.45882352941176474,0.7553191489361702,0.7727891156462585,0.6249549401933475,6,GMAC,,0.24990988038669504
0,0.6502057613168725,0.10082304526748971,0.1440329218106996,0.10493827160493827,0.7551440329218108,0.6225193443008151,0.8186528497409327,0.51,0.8657534246575342,0.8415446071904128,0.6643264248704663,7,GMAC,,0.3286528497409327
0,0.6666666666666666,0.10073260073260074,0.09340659340659341,0.1391941391941392,0.8058608058608059,0.6962368131002992,0.8771084337349397,0.5801526717557252,0.8687350835322196,0.8729016786570744,0.7286305527453325,8,GMAC,,0.457261105490665
0,0.4008042895442359,0.054959785522788206,0.1581769436997319,0.38605898123324395,0.7868632707774799,0.5738192035383921,0.7170263788968825,0.8753799392097265,0.8794117647058823,0.7899603698811096,0.7962031590533045,9,GMAC,,0.592406318106609
0,0.6255411255411255,0.1406926406926407,0.09090909090909091,0.14285714285714285,0.7683982683982684,0.624323163850395,0.8731117824773413,0.5038167938931297,0.8163841807909605,0.8437956204379561,0.6884642881852355,10,GMAC,,0.37692857637047106
0,0.7,0.16,0.06,0.08,0.7799999999999999,0.6821727824328228,0.9210526315789473,0.33333333333333337,0.813953488372093,0.8641975308641974,0.6271929824561404,1,RF intra,0.0,0.2543859649122808
0,0.782608695652174,0.043478260869565216,0.0,0.17391304347826086,0.9565217391304348,0.9365517241379311,1.0,0.8,0.9473684210526316,0.972972972972973,0.9,1,RF intra,1.0,0.8
