time,l,r
2019-11-15 16:32:14.500,0,1
2019-11-15 16:32:14.740,1,1
2019-11-15 16:32:15.000,0,1
2019-11-15 16:32:15.240,0,1
2019-11-15 16:32:15.500,0,1
2019-11-15 16:32:15.740,0,1
2019-11-15 16:32:16.000,0,1
2019-11-15 16:32:16.240,0,1
2019-11-15 16:32:16.500,0,1
2019-11-15 16:32:16.740,0,1
2019-11-15 16:32:17.000,1,1
2019-11-15 16:32:17.240,1,1
2019-11-15 16:32:17.500,0,1
2019-11-15 16:32:17.740,1,1
2019-11-15 16:32:18.000,0,1
2019-11-15 16:32:18.240,0,1
2019-11-15 16:32:18.500,0,1
2019-11-15 16:32:18.740,0,1
2019-11-15 16:32:19.000,0,1
2019-11-15 16:32:19.240,0,1
2019-11-15 16:32:19.500,0,1
2019-11-15 16:32:19.740,1,1
2019-11-15 16:32:20.000,1,1
2019-11-15 16:32:20.240,0,1
2019-11-15 16:32:20.500,1,0
2019-11-15 16:32:20.740,1,1
2019-11-15 16:32:21.000,1,1
2019-11-15 16:32:21.240,1,1
2019-11-15 16:32:21.500,1,1
2019-11-15 16:32:21.740,1,1
2019-11-15 16:32:22.000,1,1
2019-11-15 16:32:22.240,1,1
2019-11-15 16:32:22.500,1,1
2019-11-15 16:32:22.740,0,1
2019-11-15 16:32:23.000,0,1
2019-11-15 16:32:23.240,0,1
2019-11-15 16:32:23.500,0,1
2019-11-15 16:32:23.740,0,1
2019-11-15 16:32:24.000,0,1
2019-11-15 16:32:24.240,0,1
2019-11-15 16:32:24.500,0,1
2019-11-15 16:32:24.740,0,1
2019-11-15 16:32:25.000,0,1
2019-11-15 16:32:25.240,0,1
2019-11-15 16:32:25.500,0,1
2019-11-15 16:32:25.740,0,1
2019-11-15 16:32:26.000,0,1
2019-11-15 16:32:26.240,0,1
2019-11-15 16:32:26.500,0,1
2019-11-15 16:32:26.740,0,1
2019-11-15 16:32:27.000,0,1
2019-11-15 16:32:27.240,0,1
2019-11-15 16:32:27.500,0,1
2019-11-15 16:32:27.740,0,1
2019-11-15 16:32:28.000,0,1
2019-11-15 16:32:28.240,0,1
2019-11-15 16:32:28.500,0,1
2019-11-15 16:32:28.740,0,1
2019-11-15 16:32:29.000,0,1
2019-11-15 16:32:29.240,0,1
2019-11-15 16:32:29.500,0,1
2019-11-15 16:32:29.740,0,1
2019-11-15 16:32:30.000,0,1
2019-11-15 16:32:30.240,0,1
2019-11-15 16:32:30.500,0,1
2019-11-15 16:32:30.740,0,1
2019-11-15 16:32:31.000,0,1
2019-11-15 16:32:31.240,0,1
2019-11-15 16:32:31.500,0,1
2019-11-15 16:32:31.740,0,1
2019-11-15 16:32:32.000,0,1
2019-11-15 16:32:32.240,0,1
2019-11-15 16:32:32.500,0,1
2019-11-15 16:32:32.740,0,1
2019-11-15 16:32:33.000,0,1
2019-11-15 16:32:33.240,0,1
2019-11-15 16:32:33.500,0,1
2019-11-15 16:32:33.740,0,1
2019-11-15 16:32:34.000,0,1
2019-11-15 16:32:34.240,0,1
2019-11-15 16:32:34.500,0,1
2019-11-15 16:32:34.740,0,1
2019-11-15 16:32:35.000,0,1
2019-11-15 16:32:35.240,0,1
2019-11-15 16:32:35.500,0,1
2019-11-15 16:32:35.740,0,1
2019-11-15 16:32:36.000,0,1
2019-11-15 16:32:36.240,0,1
2019-11-15 16:32:36.500,0,1
2019-11-15 16:32:36.740,0,1
2019-11-15 16:32:37.000,0,1
2019-11-15 16:32:37.240,0,0
2019-11-15 16:32:37.500,0,1
2019-11-15 16:32:37.740,0,1
2019-11-15 16:32:38.000,0,1
2019-11-15 16:32:38.240,0,1
2019-11-15 16:32:38.500,1,1
2019-11-15 16:32:38.740,0,1
2019-11-15 16:32:39.000,0,1
2019-11-15 16:32:39.240,0,1
2019-11-15 16:32:39.500,0,1
2019-11-15 16:32:39.740,0,1
2019-11-15 16:32:40.000,0,1
2019-11-15 16:32:40.240,0,1
2019-11-15 16:32:40.500,0,1
2019-11-15 16:32:40.740,1,1
2019-11-15 16:32:41.000,0,1
2019-11-15 16:32:41.240,0,1
2019-11-15 16:32:41.500,0,1
2019-11-15 16:32:41.740,1,1
2019-11-15 16:32:42.000,1,1
