time,l,iteration
2019-11-25 17:00:27.000,0,0
2019-11-25 16:49:05.500,1,0
2019-11-25 16:47:38.240,0,0
2019-11-25 16:56:52.000,0,0
2019-11-25 16:55:27.240,0,0
2019-11-25 16:48:25.740,0,0
2019-11-25 16:56:47.000,1,0
2019-11-25 16:58:22.500,0,0
2019-11-25 16:58:43.240,0,0
2019-11-25 17:00:18.240,0,0
2019-11-25 16:52:36.240,1,0
2019-11-25 16:52:25.240,0,0
2019-11-25 16:49:41.500,0,0
2019-11-25 16:58:02.740,0,0
2019-11-25 16:58:24.000,0,0
2019-11-25 16:54:17.500,0,0
2019-11-25 16:50:14.240,0,0
2019-11-25 16:47:42.740,0,0
2019-11-25 16:58:01.000,0,0
2019-11-25 16:57:25.740,1,0
2019-11-25 16:47:36.740,0,0
2019-11-25 17:00:32.740,0,0
2019-11-25 16:56:52.240,0,0
2019-11-25 16:56:01.500,0,0
2019-11-25 16:49:57.000,0,0
2019-11-25 16:48:02.240,1,0
2019-11-25 16:59:18.740,0,0
2019-11-25 16:57:31.500,1,0
2019-11-25 16:52:45.740,1,0
2019-11-25 16:58:08.240,1,0
2019-11-25 16:57:50.500,0,0
2019-11-25 16:53:12.740,1,0
2019-11-25 16:56:23.240,0,0
2019-11-25 16:54:43.000,0,0
2019-11-25 16:47:30.740,0,0
2019-11-25 16:53:13.500,1,0
2019-11-25 16:56:22.500,0,0
2019-11-25 16:55:45.240,0,0
2019-11-25 16:47:33.000,0,0
2019-11-25 16:54:53.000,1,0
2019-11-25 16:57:51.000,0,0
2019-11-25 16:57:53.740,1,0
2019-11-25 16:55:18.740,0,0
2019-11-25 16:56:29.240,1,0
2019-11-25 16:56:16.240,0,0
2019-11-25 16:47:06.740,0,0
2019-11-25 16:50:05.000,1,0
2019-11-25 16:59:22.740,0,0
2019-11-25 16:58:20.740,0,0
2019-11-25 16:48:03.000,1,0
2019-11-25 16:54:27.000,0,0
2019-11-25 16:49:48.000,1,0
2019-11-25 16:53:19.500,0,0
2019-11-25 17:00:20.000,0,0
2019-11-25 16:52:31.240,1,0
2019-11-25 16:55:09.240,0,0
2019-11-25 16:52:59.500,0,0
2019-11-25 16:53:23.740,0,0
2019-11-25 16:47:21.240,1,0
2019-11-25 16:48:58.240,0,0
2019-11-25 16:56:42.500,0,0
2019-11-25 16:47:06.500,0,0
2019-11-25 16:55:26.000,0,0
2019-11-25 16:50:10.240,1,0
2019-11-25 16:52:26.240,0,0
2019-11-25 16:56:09.740,0,0
2019-11-25 16:53:04.740,0,0
2019-11-25 16:47:21.000,1,0
2019-11-25 16:52:35.740,1,0
2019-11-25 17:00:35.500,0,0
2019-11-25 17:00:39.240,0,0
2019-11-25 16:47:07.740,0,0
2019-11-25 16:47:58.740,1,0
