time,r,iteration
2019-11-25 17:00:33.740,1,0
2019-11-25 16:48:58.500,0,0
2019-11-25 16:54:48.500,1,0
2019-11-25 16:58:05.000,1,0
2019-11-25 17:00:37.240,1,0
2019-11-25 16:57:56.240,1,0
2019-11-25 16:47:45.240,0,0
2019-11-25 16:56:58.240,1,0
2019-11-25 16:53:11.240,1,0
2019-11-25 16:47:20.000,1,0
2019-11-25 16:59:45.500,1,0
2019-11-25 16:57:07.500,1,0
2019-11-25 16:57:55.000,1,0
2019-11-25 16:52:36.740,1,0
2019-11-25 16:49:56.740,1,0
2019-11-25 16:59:18.240,1,0
2019-11-25 16:49:05.740,0,0
2019-11-25 16:47:58.740,0,0
2019-11-25 16:47:11.500,1,0
2019-11-25 16:59:42.240,1,0
2019-11-25 16:48:47.500,1,0
2019-11-25 16:50:24.500,1,0
2019-11-25 17:00:06.500,1,0
2019-11-25 17:00:32.740,1,0
2019-11-25 16:57:16.740,1,0
2019-11-25 16:50:08.740,1,0
2019-11-25 16:54:57.000,1,0
2019-11-25 16:56:41.740,1,0
2019-11-25 16:57:20.500,1,0
2019-11-25 16:57:59.240,1,0
2019-11-25 16:50:04.240,1,0
2019-11-25 16:48:43.240,1,0
2019-11-25 17:00:23.500,1,0
2019-11-25 16:59:58.000,1,0
2019-11-25 16:58:29.500,1,0
2019-11-25 16:49:03.500,0,0
2019-11-25 16:54:50.240,1,0
2019-11-25 16:55:31.240,1,0
2019-11-25 16:57:22.000,1,0
2019-11-25 17:00:31.000,1,0
2019-11-25 16:57:08.740,1,0
2019-11-25 16:57:29.500,1,0
2019-11-25 16:50:22.240,1,0
2019-11-25 16:56:43.740,1,0
2019-11-25 16:53:19.240,1,0
2019-11-25 16:55:43.500,1,0
2019-11-25 17:00:13.240,1,0
2019-11-25 17:00:47.740,1,0
2019-11-25 16:54:51.500,1,0
2019-11-25 16:47:16.240,1,0
2019-11-25 16:48:32.240,1,0
2019-11-25 16:54:45.740,1,0
2019-11-25 16:49:41.240,0,0
2019-11-25 16:58:42.740,1,0
2019-11-25 16:50:16.500,1,0
2019-11-25 16:55:42.740,1,0
2019-11-25 16:59:42.740,1,0
2019-11-25 16:49:09.000,1,0
2019-11-25 16:57:11.000,1,0
2019-11-25 16:55:11.500,1,0
2019-11-25 16:50:11.000,1,0
2019-11-25 16:54:59.500,1,0
2019-11-25 16:48:41.000,1,0
2019-11-25 17:00:18.740,1,0
2019-11-25 16:56:00.740,1,0
2019-11-25 17:00:07.240,1,0
2019-11-25 16:49:45.000,1,0
2019-11-25 16:56:53.500,1,0
2019-11-25 16:55:40.000,1,0
2019-11-25 16:48:26.740,1,0
2019-11-25 16:54:13.240,1,0
2019-11-25 16:59:45.240,1,0
2019-11-25 17:00:01.240,1,0
2019-11-25 16:52:13.240,0,0
2019-11-25 17:00:36.500,1,0
2019-11-25 16:59:12.740,1,0
2019-11-25 16:56:22.240,1,0
2019-11-25 16:57:43.740,1,0
2019-11-25 16:55:17.500,1,0
2019-11-25 16:56:59.740,1,0
2019-11-25 16:49:03.240,0,0
2019-11-25 16:47:53.740,0,0
2019-11-25 16:50:20.240,1,0
2019-11-25 16:54:54.500,1,0
2019-11-25 16:50:08.240,1,0
2019-11-25 17:00:40.000,1,0
2019-11-25 16:52:14.240,0,0
2019-11-25 16:54:40.240,1,0
2019-11-25 16:55:04.500,1,0
2019-11-25 16:54:17.240,1,0
2019-11-25 16:57:21.000,1,0
2019-11-25 16:49:52.000,1,0
2019-11-25 16:59:14.240,1,0
2019-11-25 16:49:08.000,0,0
2019-11-25 16:48:56.240,0,0
2019-11-25 16:57:38.740,1,0
2019-11-25 16:48:42.000,1,0
2019-11-25 16:56:03.000,1,0
2019-11-25 16:57:52.240,1,0
2019-11-25 16:54:53.500,1,0
2019-11-25 16:54:15.000,1,0
2019-11-25 16:59:54.240,1,0
2019-11-25 16:58:16.740,1,0
2019-11-25 16:56:06.740,1,0
2019-11-25 16:56:20.000,1,0
2019-11-25 16:57:25.500,1,0
2019-11-25 16:48:44.740,1,0
2019-11-25 16:49:45.740,1,0
2019-11-25 16:49:56.240,1,0
2019-11-25 16:56:31.240,1,0
2019-11-25 16:53:33.740,1,0
2019-11-25 16:58:12.500,1,0
2019-11-25 16:55:29.000,1,0
2019-11-25 17:00:14.240,1,0
2019-11-25 16:58:07.740,1,0
2019-11-25 16:59:16.500,1,0
2019-11-25 16:52:33.740,1,0
2019-11-25 16:53:30.740,1,0
2019-11-25 16:57:03.240,1,0
2019-11-25 16:47:19.740,1,0
2019-11-25 16:49:59.000,1,0
2019-11-25 16:54:35.740,1,0
2019-11-25 17:00:13.740,1,0
2019-11-25 16:49:41.500,1,0
2019-11-25 16:57:25.740,1,0
2019-11-25 16:47:53.500,0,0
2019-11-25 17:00:28.000,1,0
2019-11-25 16:49:42.240,0,0
2019-11-25 16:54:19.240,1,0
2019-11-25 16:54:50.500,1,0
2019-11-25 16:59:37.500,1,0
2019-11-25 16:56:25.000,1,0
2019-11-25 16:56:27.240,1,0
2019-11-25 16:54:47.000,1,0
2019-11-25 16:50:23.740,1,0
2019-11-25 16:52:33.240,1,0
2019-11-25 16:53:36.000,1,0
2019-11-25 16:58:29.240,1,0
2019-11-25 16:47:25.000,1,0
2019-11-25 17:00:11.740,1,0
2019-11-25 16:55:25.740,1,0
2019-11-25 16:58:21.240,1,0
2019-11-25 16:52:35.000,1,0
2019-11-25 16:49:44.000,0,0
2019-11-25 16:56:04.000,1,0
2019-11-25 16:53:24.740,1,0
2019-11-25 16:56:20.740,1,0
2019-11-25 16:48:21.240,1,0
2019-11-25 16:53:26.000,1,0
2019-11-25 16:47:14.500,1,0
2019-11-25 16:50:17.000,1,0
2019-11-25 17:00:13.000,1,0
2019-11-25 16:48:07.000,0,0
2019-11-25 16:49:52.500,1,0
2019-11-25 16:53:17.000,1,0
2019-11-25 16:58:39.500,1,0
2019-11-25 16:54:38.500,1,0
2019-11-25 16:58:31.000,1,0
2019-11-25 16:56:14.240,1,0
2019-11-25 16:59:14.500,1,0
2019-11-25 16:53:31.240,1,0
2019-11-25 16:59:13.000,1,0
2019-11-25 16:58:48.000,1,0
2019-11-25 16:48:21.000,1,0
2019-11-25 16:56:15.500,1,0
2019-11-25 16:48:25.000,1,0
2019-11-25 16:58:22.240,1,0
2019-11-25 16:57:34.240,1,0
2019-11-25 16:57:39.240,1,0
2019-11-25 16:52:30.240,1,0
2019-11-25 17:00:08.500,1,0
2019-11-25 16:48:59.000,0,0
2019-11-25 16:55:48.000,1,0
